id,name,ticker,chainIds,voucherTypes,notes,url
comp-skylark,すかいらーくホールディングス,3197,,食事,,
comp-colowide,コロワイド,7616,,食事,,
comp-createrestaurants,クリエイトレストランツ,3387,,食事,,
comp-nattyswanky,NATTYSWANKYホールディングス,7674,,食事,,
comp-sfp,SFPホールディングス,3198,,食事,,
comp-edion,エディオン,2730,,買い物,,
comp-kappa-create,カッパ・クリエイト,7421,,食事,,
comp-gift-group,ギフトホールディングス,9279,,食事,,
comp-kojima,コジマ,7513,,買い物,,
comp-duskin,ダスキン,4665,,食事,,
comp-baroque-global,バロックジャパンリミテッド,3548,,買い物,,https://www.baroque-global.com/jp/shoplist
comp-ppih,パン・パシフィック・インターナショナルホールディングス,7532,,買い物,,
comp-biccamera,ビックカメラ,3048,,買い物,,
comp-yamada-holdings,ヤマダホールディングス,9831,,買い物,,
comp-world,ワールド,3612,,買い物,,
comp-mcd-holdings,日本マクドナルドホールディングス,2702,,食事,,
comp-n-p-d,日本駐車場開発,2353,,レジャー,,
comp-gokurakuyu-holdings,極楽湯ホールディングス,2340,,レジャー,,
comp-dkkaraoke,第一興商,7458,,"食事,レジャー",,
comp-ighd,飯田グループホールディングス,3291,,レジャー,,
comp-alpen-group,アルペン,3028,,買い物,,https://store.alpen-group.jp/Form/RealShop/ShopList.aspx
comp-chikaranomoto,力の源ホールディングス,3561,,食事,,
comp-yamaegroup-hd,ヤマエグループホールディングス,7130,,食事,,
comp-xebio,ゼビオホールディングス,8281,,買い物,,
comp-fullcastholdings,フルキャストホールディングス,4848,,食事,,
comp-gardengroup,ガーデン,274A,,食事,,
